mot,type
le,0
la,0
les,0
un,0
une,0
des,0
mon,0
ma,0
mes,0
ton,0
ta,0
tes,0
son,0
sa,0
ses,0
ce,0
cet,0
cette,0
ces,0
beau,1
belle,1
joli,1
jolie,1
petit,1
petite,1
grand,1
grande,1
gros,1
grosse,1
mince,1
jeune,1
vieux,1
vieille,1
nouveau,1
nouvelle,1
ancien,1
ancienne,1
bon,1
bonne,1
mauvais,1
mauvaise,1
heureux,1
heureuse,1
triste,1
gai,1
gaie,1
calme,1
bruyant,1
bruyante,1
silencieux,1
silencieuse,1
rapide,1
lent,1
lente,1
fort,1
forte,1
faible,1
doux,1
douce,1
dur,1
dure,1
chaud,1
chaude,1
froid,1
froide,1
clair,1
claire,1
sombre,1
propre,1
sale,1
neuf,1
neuve,1
plein,1
pleine,1
vide,1
ouvert,1
ouverte,1
fermé,1
fermée,1
blanc,1
blanche,1
noir,1
noire,1
rouge,1
bleu,1
bleue,1
vert,1
verte,1
jaune,1
orange,1
violet,1
violette,1
rose,1
gris,1
français,1
française,1
parisien,1
parisienne,1
chat,2
chien,2
souris,2
oiseau,2
poisson,2
cheval,2
lapin,2
lion,2
tigre,2
ours,2
renard,2
loup,2
vache,2
mouton,2
chèvre,2
poule,2
canard,2
abeille,2
papillon,2
arbre,2
fleur,2
plante,2
feuille,2
jardin,2
forêt,2
rivière,2
mer,2
montagne,2
plage,2
ciel,2
soleil,2
lune,2
étoile,2
nuage,2
pluie,2
neige,2
vent,2
maison,2
appartement,2
chambre,2
cuisine,2
salon,2
porte,2
fenêtre,2
table,2
chaise,2
lit,2
livre,2
cahier,2
stylo,2
crayon,2
sac,2
école,2
classe,2
professeur,2
élève,2
ami,2
amie,2
enfant,2
fille,2
garçon,2
homme,2
femme,2
famille,2
père,2
mère,2
frère,2
sœur,2
voiture,2
vélo,2
train,2
bateau,2
avion,2
route,2
ville,2
village,2
pain,2
fromage,2
pomme,2
fruit,2
gâteau,2
eau,2
musique,2
film,2
jeu,2
photo,2
ordinateur,2
téléphone,2
mange,3
boit,3
dort,3
marche,3
court,3
saute,3
nage,3
vole,3
joue,3
chante,3
danse,3
rit,3
pleure,3
parle,3
écoute,3
regarde,3
voit,3
cherche,3
trouve,3
aime,3
adore,3
déteste,3
ouvre,3
ferme,3
prend,3
donne,3
achète,3
vend,3
écrit,3
dessine,3
construit,3
prépare,3
lave,3
range,3
nettoie,3
visite,3
aide,3
appelle,3
rencontre,3
salue,3
observe,3
suit,3
conduit,3
utilise,3
répare,3
apporte,3
emporte,3
étudie,3
apprend,3
enseigne,3
travaille,3
voyage,3
arrive,3
part,3
tombe,3
monte,3
descend,3
martin,4
julie,4
jean,4
marie,4
pierre,4
paul,4
luc,4
lucas,4
hugo,4
thomas,4
antoine,4
louis,4
emma,4
léa,4
chloé,4
sophie,4
camille,4
alice,4
nina,4
paris,4
lyon,4
marseille,4
bordeaux,4
toulouse,4
lille,4
france,4
europe,4
du,0
au,0
aux,0
notre,0
nos,0
votre,0
vos,0
leur,0
leurs,0
quel,0
quelle,0
quels,0
quelles,0
chaque,0
plusieurs,0
aucun,0
aucune,0
magnifique,1
superbe,1
adorable,1
agréable,1
élégant,1
élégante,1
intelligent,1
intelligente,1
courageux,1
courageuse,1
généreux,1
généreuse,1
poli,1
polie,1
sérieux,1
sérieuse,1
curieux,1
curieuse,1
timide,1
patient,1
patiente,1
impatient,1
impatiente,1
fier,1
fière,1
jaloux,1
jalouse,1
nerveux,1
nerveuse,1
fatigué,1
fatiguée,1
reposant,1
reposante,1
actif,1
active,1
créatif,1
créative,1
sportif,1
sportive,1
amusant,1
amusante,1
intéressant,1
intéressante,1
important,1
importante,1
utile,1
inutile,1
possible,1
impossible,1
facile,1
difficile,1
simple,1
complexe,1
normal,1
normale,1
étrange,1
rare,1
commun,1
commune,1
libre,1
occupé,1
occupée,1
riche,1
pauvre,1
cher,1
chère,1
gratuite,1
précieux,1
précieuse,1
fragile,1
solide,1
lourd,1
lourde,1
léger,1
légère,1
large,1
étroit,1
étroite,1
long,1
longue,1
courte,1
haut,1
haute,1
bas,1
basse,1
profond,1
profonde,1
plat,1
rond,1
ronde,1
carré,1
carrée,1
droit,1
droite,1
humide,1
sec,1
sèche,1
mouillé,1
mouillée,1
savoureux,1
savoureuse,1
sucré,1
sucrée,1
salé,1
salée,1
amer,1
amère,1
acide,1
parfumé,1
parfumée,1
animal,2
insecte,2
reptile,2
serpent,2
tortue,2
grenouille,2
écureuil,2
dauphin,2
baleine,2
requin,2
crabe,2
mouche,2
fourmi,2
araignée,2
coccinelle,2
coq,2
cochon,2
âne,2
singe,2
zèbre,2
girafe,2
éléphant,2
panda,2
kangourou,2
légume,2
carotte,2
tomate,2
patate,2
salade,2
soupe,2
viande,2
poulet,2
riz,2
pâtes,2
farine,2
lait,2
beurre,2
œuf,2
sucre,2
sel,2
poivre,2
confiture,2
chocolat,2
glace,2
jus,2
café,2
thé,2
bol,2
assiette,2
verre,2
fourchette,2
couteau,2
cuillère,2
serviette,2
réfrigérateur,2
four,2
évier,2
bureau,2
armoire,2
étagère,2
canapé,2
tapis,2
lampe,2
miroir,2
rideau,2
plafond,2
mur,2
sol,2
escalier,2
garage,2
toit,2
clé,2
serrure,2
jardinier,2
médecin,2
infirmier,2
infirmière,2
boulanger,2
boulangère,2
cuisinier,2
cuisinière,2
acteur,2
actrice,2
chanteur,2
chanteuse,2
artiste,2
musicien,2
musicienne,2
écrivain,2
écrivaine,2
journaliste,2
policier,2
policière,2
pompier,2
avocat,2
avocate,2
ingénieur,2
ingénieure,2
chercheur,2
chercheuse,2
voisin,2
voisine,2
client,2
cliente,2
roi,2
reine,2
prince,2
princesse,2
bébé,2
adolescent,2
adolescente,2
adulte,2
personne,2
peuple,2
pays,2
continent,2
capital,2
quartier,2
rue,2
place,2
pont,2
parc,2
musée,2
cinéma,2
théâtre,2
magasin,2
marché,2
restaurant,2
hôtel,2
hôpital,2
bibliothèque,2
gare,2
aéroport,2
port,2
métro,2
bus,2
camion,2
moto,2
tracteur,2
fusée,2
valise,2
montre,2
lunettes,2
chemise,2
pantalon,2
robe,2
jupe,2
manteau,2
chapeau,2
chaussure,2
botte,2
gant,2
écharpe,2
colline,2
vallée,2
lac,2
cascade,2
île,2
désert,2
champ,2
prairie,2
rocher,2
terre,2
feu,2
air,2
orage,2
éclair,2

saison,2
printemps,2
été,2
automne,2
hiver,2
matin,2
soir,2
nuit,2
jour,2
semaine,2
mois,2
année,2
heure,2
minute,2
seconde,2
histoire,2
question,2
